,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
17828,3.6,МТ,7,Б,True,2012,М
17829,3.97,МТ,8,Специалист,True,2011,М
17830,4.17,МТ,1,Б,True,2017,М
17831,4.68,МТ,4,М,False,2016,М
17854,3.5,МТ,11,Специалист,False,2011,М
17855,3.8,МТ,1,Специалист,True,2010,М
17857,3.5,МТ,1,Специалист,True,2018,М
17870,4.42,МТ,8,Б,False,2014,М
17871,4.69,МТ,8,Б,False,2014,М
17872,4.74,МТ,8,Б,False,2016,М
17873,4.88,МТ,4,М,False,2018,М
17874,5.0,МТ,4,М,False,2018,М
17875,3.13,МТ,3,Специалист,True,2008,М
17908,3.3,МТ,2,Специалист,True,2016,М
17913,4.82,МТ,12,Специалист,False,2014,М
17915,3.75,МТ,6,Специалист,True,2013,М
17935,3.86,МТ,4,М,True,2016,М
17940,3.46,МТ,10,Специалист,True,2007,М
17941,3.82,МТ,11,Специалист,False,2008,М
17962,3.0,МТ,1,Специалист,True,2015,М
17964,4.02,МТ,11,Специалист,False,2009,Ж
17965,3.43,МТ,7,Специалист,True,2011,Ж
17966,3.3,МТ,2,Специалист,True,2012,Ж
17968,3.47,МТ,8,Б,False,2014,Ж
17970,4.71,МТ,4,М,False,2015,Ж
17998,4.18,МТ,12,Специалист,False,2013,Ж
17999,4.07,МТ,11,Специалист,False,2008,Ж
18001,3.3,МТ,2,Специалист,True,2014,Ж
18025,4.66,МТ,11,Специалист,False,2009,Ж
18026,4.33,МТ,7,Б,True,2013,Ж
18027,4.79,МТ,8,Б,False,2015,Ж
18029,4.73,МТ,7,Б,True,2013,Ж
18030,4.95,МТ,8,Б,False,2015,Ж
18032,4.55,МТ,8,Б,False,2016,Ж
18033,4.39,МТ,8,Б,False,2016,Ж
18034,4.37,МТ,8,Б,False,2016,Ж
18035,4.5,МТ,8,Б,False,2016,Ж
18036,4.2,МТ,1,Б,True,2016,Ж
18037,4.94,МТ,4,М,False,2015,Ж
18110,3.88,МТ,11,Специалист,False,2009,Ж
18111,4.05,МТ,11,Специалист,False,2009,Ж
18112,4.98,МТ,12,Специалист,False,2012,Ж
18113,4.24,МТ,12,Специалист,True,2012,Ж
18114,4.02,МТ,12,Специалист,True,2012,Ж
18120,3.49,МТ,8,Специалист,True,2009,Ж
18180,3.88,МТ,10,Специалист,True,2007,Ж
18181,4.18,МТ,10,Специалист,True,2007,Ж
18182,4.72,МТ,12,Специалист,False,2010,Ж
18186,3.2,МТ,1,Специалист,True,2008,Ж
18191,4.64,МТ,4,М,False,2015,Ж
18192,4.23,МТ,4,М,False,2016,Ж
18224,3.93,МТ,11,Специалист,False,2008,Ж
18225,4.26,МТ,12,Специалист,False,2010,Ж
18226,4.73,МТ,12,Специалист,False,2012,Ж
18227,4.83,МТ,11,Специалист,True,2013,Ж
18228,3.67,МТ,11,Специалист,False,2008,Ж
18239,3.88,МТ,8,Специалист,True,2009,Ж
18291,4.95,МТ,12,Специалист,False,2014,Ж
18292,3.48,МТ,10,Специалист,True,2010,Ж
18294,4.38,МТ,12,Специалист,False,2014,Ж
18327,4.72,МТ,11,Специалист,True,2010,Ж
18329,4.86,МТ,8,Б,False,2013,Ж
18330,4.06,МТ,8,Б,False,2014,Ж
18331,4.47,МТ,8,Б,False,2014,Ж
18332,3.89,МТ,8,Б,False,2015,Ж
18333,4.35,МТ,8,Б,False,2016,Ж
18334,4.16,МТ,8,Б,False,2016,Ж
18335,5.0,МТ,4,М,False,2017,Ж
18336,4.11,МТ,4,М,False,2018,Ж
18337,3.0,МТ,2,Специалист,True,2009,Ж
18340,4.54,МТ,4,М,False,2015,Ж
18341,4.79,МТ,4,М,False,2016,Ж
18408,3.4,МТ,12,Специалист,True,2008,Ж
18409,3.84,МТ,12,Специалист,True,2012,Ж
18410,4.32,МТ,10,Специалист,True,2011,Ж
18412,4.0,МТ,1,Специалист,True,2018,Ж
18414,3.4,МТ,1,Специалист,True,2009,Ж
18451,3.48,МТ,11,Специалист,True,2014,Ж
18454,3.1,МТ,2,Специалист,True,2013,Ж
18455,4.54,МТ,8,Б,False,2016,Ж
18456,4.09,МТ,8,Б,False,2016,Ж
18484,3.92,МТ,11,Специалист,False,2011,Ж
18495,4.04,МТ,11,Специалист,True,2010,Ж
18497,4.16,МТ,7,Специалист,True,2011,Ж
18498,4.82,МТ,8,Б,False,2014,Ж
18499,3.92,МТ,8,Б,False,2014,Ж
18500,4.92,МТ,8,Б,False,2015,Ж
18501,4.36,МТ,8,Б,False,2016,Ж
18502,4.77,МТ,8,Б,False,2016,Ж
18503,5.0,МТ,4,М,False,2018,Ж
18505,3.4,МТ,1,Специалист,True,2010,Ж
18506,4.63,МТ,4,М,False,2018,Ж
18507,4.6,МТ,1,М,True,2019,Ж
18509,4.94,МТ,4,М,False,2015,Ж
18571,4.97,МТ,8,Б,False,2016,Ж
18572,4.94,МТ,4,М,False,2018,Ж
18573,4.33,МТ,8,Б,False,2016,Ж
18574,4.61,МТ,8,Б,False,2016,Ж
18575,4.58,МТ,8,Б,False,2016,Ж
18607,3.47,МТ,12,Специалист,True,2009,М
18621,4.5,МТ,9,Специалист,True,2012,М
18633,4.02,МТ,10,Специалист,True,2011,Ж
18644,4.0,МТ,2,Б,True,2015,Ж
18651,4.54,МТ,4,М,False,2015,Ж
18655,4.07,МТ,12,Специалист,False,2014,Ж
18667,4.65,МТ,10,Специалист,True,2011,Ж
18678,4.44,МТ,10,Специалист,True,2007,Ж
18681,4.63,МТ,8,Б,False,2015,Ж
18682,4.95,МТ,4,М,False,2018,Ж
18683,5.0,МТ,4,М,False,2015,Ж
18705,3.6,МТ,1,Специалист,True,2009,Ж
18707,4.25,МТ,11,Специалист,False,2008,Ж
18708,3.95,МТ,11,Специалист,False,2009,Ж
18712,3.0,МТ,2,Специалист,True,2007,Ж
18732,4.37,МТ,4,М,False,2016,Ж
18736,4.95,МТ,11,Специалист,False,2009,Ж
18737,4.34,МТ,11,Специалист,True,2010,Ж
18739,4.48,МТ,6,Специалист,True,2011,Ж
18740,4.61,МТ,6,Специалист,True,2011,Ж
18741,4.42,МТ,8,Б,False,2014,Ж
18742,4.28,МТ,8,Б,False,2014,Ж
18743,4.28,МТ,8,Б,False,2015,Ж
18744,3.92,МТ,8,Б,False,2015,Ж
18745,4.49,МТ,8,Б,False,2016,Ж
18746,4.06,МТ,4,М,False,2018,Ж
18747,4.33,МТ,4,М,False,2018,Ж
18752,4.85,МТ,4,М,False,2015,Ж
18753,5.0,МТ,4,М,False,2015,Ж
18831,4.31,МТ,8,Б,False,2015,Ж
18839,4.38,МТ,10,Специалист,True,2007,Ж
18840,4.6,МТ,11,Специалист,True,2012,Ж
18862,4.67,МТ,12,Специалист,False,2014,Ж
18865,3.77,МТ,4,Специалист,True,2015,Ж
18880,4.77,МТ,10,Специалист,True,2008,Ж
18881,5.0,МТ,11,Специалист,True,2010,Ж
18882,4.06,МТ,7,Специалист,True,2011,Ж
18883,4.19,МТ,7,Специалист,True,2011,Ж
18884,4.87,МТ,8,Б,False,2013,Ж
18885,5.0,МТ,4,М,False,2017,Ж
18890,4.84,МТ,4,М,False,2018,Ж
18892,4.88,МТ,4,М,False,2015,Ж
18939,4.91,МТ,8,Б,False,2015,Ж
18940,4.53,МТ,8,Б,False,2015,Ж
18941,4.94,МТ,4,М,False,2018,Ж
18942,4.33,МТ,1,Специалист,True,2015,Ж
18961,4.29,МТ,10,Специалист,True,2011,М
18964,3.94,МТ,8,Б,False,2016,М
18965,3.4,МТ,2,Специалист,True,2007,М
18984,3.9,МТ,12,Специалист,True,2012,М
18985,4.4,МТ,9,Специалист,True,2011,М
19008,3.77,МТ,10,Специалист,True,2007,М
19009,3.6,МТ,1,Специалист,True,2013,М
19012,3.5,МТ,1,Б,True,2018,М
19028,4.25,МТ,8,Б,False,2013,М
19029,4.18,МТ,8,Б,False,2016,М
19030,5.0,МТ,4,М,False,2017,М
19031,3.83,МТ,1,Б,True,2019,М
19050,4.93,МТ,12,Специалист,False,2012,М
19051,3.8,МТ,11,Специалист,False,2009,М
19053,3.55,МТ,2,Специалист,True,2018,М
19054,3.2,МТ,1,Специалист,True,2008,М
19080,3.66,МТ,12,Специалист,False,2010,М
19092,3.82,МТ,12,Специалист,False,2010,М
19104,3.56,МТ,8,Б,False,2016,М
19105,3.14,МТ,3,Специалист,True,2010,М
19106,4.14,МТ,7,Специалист,True,2012,М
19107,3.49,МТ,8,Б,False,2015,М
19108,4.62,МТ,8,Б,False,2016,М
19109,3.0,МТ,1,Специалист,True,2009,М
19110,4.12,МТ,4,М,False,2016,М
19148,3.6,МТ,1,Специалист,True,2011,М
19149,3.7,МТ,2,Специалист,True,2016,М
19150,4.0,МТ,1,Б,True,2019,М
19151,3.89,МТ,8,Б,False,2016,М
19165,4.27,МТ,11,Специалист,True,2014,М
19177,3.37,МТ,7,Специалист,True,2012,М
19178,3.94,МТ,7,Специалист,True,2012,М
19179,3.89,МТ,6,Б,True,2012,М
19180,4.42,МТ,4,М,False,2016,М
19206,3.74,МТ,11,Специалист,True,2014,М
19218,3.64,МТ,8,Б,False,2015,М
19226,3.76,МТ,10,Специалист,True,2007,М
19227,3.43,МТ,12,Специалист,True,2013,М
19230,3.4,МТ,1,Специалист,True,2009,М
19233,3.06,МТ,8,Б,False,2013,М
19234,3.29,МТ,4,Б,True,2015,М
19235,3.46,МТ,3,Б,True,2016,М
19237,4.8,МТ,4,М,False,2015,М
19273,3.46,МТ,10,Специалист,True,2008,М
19274,3.77,МТ,7,Специалист,True,2011,М
19277,3.36,МТ,3,Б,True,2014,М
19300,3.0,МТ,1,Специалист,True,2011,М
19301,3.0,МТ,2,Специалист,True,2008,М
19305,3.95,МТ,11,Специалист,False,2007,М
19306,4.81,МТ,11,Специалист,False,2011,М
19307,4.82,МТ,11,Специалист,True,2013,М
19308,3.0,МТ,1,Специалист,True,2014,М
19314,3.11,МТ,2,Специалист,True,2011,М
19347,3.84,МТ,11,Специалист,False,2009,М
19348,4.76,МТ,12,Специалист,False,2010,М
19349,4.0,МТ,2,Специалист,True,2011,М
19350,4.28,МТ,4,Б,True,2016,М
19351,4.52,МТ,4,М,False,2018,М
19356,4.29,МТ,7,Б,True,2014,М
19357,4.0,МТ,2,Специалист,True,2008,М
19396,3.4,МТ,1,Б,True,2016,М
19401,3.41,МТ,12,Специалист,False,2010,М
19402,4.5,МТ,10,Специалист,True,2011,М
19424,4.93,МТ,11,Специалист,False,2008,М
19425,3.46,МТ,12,Специалист,False,2010,М
19426,4.6,МТ,12,Специалист,False,2014,М
19427,4.85,МТ,11,Специалист,False,2009,М
19428,4.75,МТ,12,Специалист,False,2014,М
19438,3.5,МТ,2,Специалист,True,2014,М
19488,3.35,МТ,4,Специалист,True,2008,М
19489,3.44,МТ,8,Специалист,True,2008,М
19503,4.0,МТ,10,Специалист,True,2007,М
19504,3.89,МТ,11,Специалист,False,2009,М
19525,3.65,МТ,4,Специалист,True,2017,М
19526,3.8,МТ,1,Б,True,2016,М
19535,4.05,МТ,11,Специалист,False,2009,М
19536,3.6,МТ,11,Специалист,False,2011,М
19537,3.28,МТ,11,Специалист,False,2008,М
19538,3.98,МТ,12,Специалист,False,2013,М
19580,4.57,МТ,11,Специалист,False,2009,М
19582,3.26,МТ,4,Б,True,2013,М
19598,3.68,МТ,7,Специалист,True,2011,М
19606,3.6,МТ,2,Специалист,True,2012,М
19610,4.11,МТ,11,Специалист,True,2014,М
19622,5.0,МТ,4,М,False,2018,М
19623,4.82,МТ,7,Б,True,2013,М
19624,5.0,МТ,7,Б,True,2014,М
19642,3.07,МТ,3,Специалист,True,2014,М
19647,3.27,МТ,2,Б,True,2017,М
19652,4.0,МТ,12,Специалист,False,2012,М
19664,3.4,МТ,1,Специалист,True,2012,М
19667,3.2,МТ,1,Б,True,2016,М
19671,4.96,МТ,10,Специалист,True,2013,Ж
19683,3.5,МТ,2,Специалист,True,2013,Ж
19684,4.83,МТ,8,Б,False,2015,Ж
19694,4.33,МТ,11,Специалист,False,2008,Ж
19705,4.23,МТ,7,Специалист,True,2012,Ж
19706,4.89,МТ,4,М,False,2016,Ж
19717,4.45,МТ,12,Специалист,False,2013,Ж
19729,3.64,МТ,8,Б,True,2013,Ж
19730,4.19,МТ,4,М,False,2018,Ж
19742,4.94,МТ,4,М,False,2017,Ж
19746,4.98,МТ,11,Специалист,False,2008,Ж
19757,4.2,МТ,1,Специалист,True,2011,Ж
19758,4.07,МТ,3,Специалист,True,2012,Ж
19765,4.33,МТ,1,Специалист,True,2017,Ж
19767,4.47,МТ,8,Б,False,2016,Ж
19775,4.14,МТ,9,Б,True,2014,Ж
19785,4.68,МТ,12,Специалист,False,2014,Ж
19797,4.97,МТ,7,Специалист,True,2012,Ж
19798,5.0,МТ,4,М,False,2016,Ж
19809,5.0,МТ,4,М,False,2018,Ж
19813,3.33,МТ,1,Специалист,True,2019,Ж
19815,3.6,МТ,8,Б,True,2011,Ж
19821,4.17,МТ,12,Специалист,False,2010,Ж
19833,4.25,МТ,11,Специалист,False,2008,Ж
19834,4.48,МТ,7,Б,True,2013,Ж
19837,4.66,МТ,8,Б,False,2015,Ж
19860,4.29,МТ,11,Специалист,False,2008,Ж
19861,4.77,МТ,11,Специалист,False,2011,Ж
19886,4.9,МТ,11,Специалист,False,2008,Ж
19887,3.4,МТ,3,Специалист,True,2012,Ж
19888,3.6,МТ,1,Специалист,True,2016,Ж
19906,3.46,МТ,11,Специалист,True,2010,Ж
19908,4.22,МТ,8,Б,False,2016,Ж
19926,3.46,МТ,8,Специалист,True,2007,Ж
19927,3.4,МТ,12,Специалист,False,2010,Ж
19930,4.68,МТ,10,Специалист,True,2011,Ж
19937,3.8,МТ,1,Б,True,2015,Ж
19966,4.5,МТ,1,Б,True,2018,Ж
19967,4.81,МТ,5,Специалист,True,2011,Ж
19975,4.87,МТ,11,Специалист,False,2009,Ж
19986,3.85,МТ,11,Специалист,False,2009,Ж
19987,4.66,МТ,11,Специалист,True,2010,Ж
19988,3.51,МТ,11,Специалист,False,2009,Ж
19990,4.39,МТ,7,Специалист,True,2011,Ж
19991,4.36,МТ,8,Б,False,2016,Ж
19992,5.0,МТ,4,М,False,2018,Ж
19997,4.75,МТ,8,Б,False,2014,Ж
20000,5.0,МТ,4,М,False,2015,Ж
20052,4.67,МТ,8,Б,False,2016,Ж
20060,4.22,МТ,8,Б,False,2013,Ж
20061,4.21,МТ,4,М,False,2016,Ж
20072,5.0,МТ,11,Специалист,False,2009,Ж
20073,3.2,МТ,3,Специалист,True,2011,Ж
20076,4.15,МТ,8,Б,False,2014,Ж
20092,4.82,МТ,11,Специалист,False,2008,Ж
20093,4.49,МТ,11,Специалист,False,2009,Ж
20094,4.92,МТ,8,Б,False,2014,Ж
20099,4.44,МТ,4,Б,True,2015,Ж
20100,4.84,МТ,8,Б,False,2016,Ж
20101,4.94,МТ,4,М,False,2015,Ж
20142,4.27,МТ,11,Специалист,False,2008,Ж
20143,4.62,МТ,12,Специалист,False,2012,Ж
20165,3.63,МТ,11,Специалист,False,2008,Ж
20166,4.78,МТ,12,Специалист,False,2012,Ж
20167,4.5,МТ,11,Специалист,True,2013,Ж
20168,4.26,МТ,9,Специалист,True,2007,Ж
20169,4.22,МТ,7,Специалист,True,2011,Ж
20170,3.81,МТ,7,Специалист,True,2011,Ж
20227,4.3,МТ,11,Специалист,True,2012,Ж
20229,3.6,МТ,1,Специалист,True,2008,Ж
20232,3.4,МТ,1,Специалист,True,2016,Ж
20244,4.24,МТ,10,Специалист,True,2008,Ж
20245,4.12,МТ,11,Специалист,True,2010,Ж
20247,4.35,МТ,6,Специалист,True,2011,Ж
20248,3.5,МТ,5,Б,True,2013,Ж
20252,4.17,МТ,1,Б,True,2017,Ж
20254,4.77,МТ,4,М,False,2015,Ж
20255,4.5,МТ,4,М,False,2016,Ж
20297,3.3,МТ,4,Специалист,True,2007,Ж
20298,3.89,МТ,9,Б,True,2008,Ж
20316,3.0,МТ,2,Специалист,True,2011,Ж
20317,4.0,МТ,1,Специалист,True,2014,Ж
20318,4.46,МТ,8,Б,False,2015,Ж
20319,4.42,МТ,4,М,False,2015,Ж
20336,3.5,МТ,2,Специалист,True,2010,Ж
20339,4.75,МТ,11,Специалист,False,2009,Ж
20340,3.8,МТ,1,Б,True,2012,Ж
20341,4.59,МТ,8,Б,False,2013,Ж
20342,4.82,МТ,8,Б,False,2015,Ж
20344,4.64,МТ,2,Б,True,2017,Ж
20345,3.61,МТ,7,Специалист,True,2011,Ж
20346,4.77,МТ,7,Специалист,True,2012,Ж
20347,4.67,МТ,4,Б,True,2016,Ж
20348,5.0,МТ,4,М,False,2017,Ж
20350,4.59,МТ,4,М,False,2015,Ж
20405,5.0,МТ,8,Б,False,2016,Ж
20406,4.86,МТ,8,Б,False,2016,Ж
20407,3.75,МТ,1,Б,True,2018,Ж
20423,3.95,МТ,4,Б,True,2013,М
20430,3.2,МТ,1,Специалист,True,2014,М
20435,4.47,МТ,8,Б,False,2016,М
20443,3.0,МТ,1,Специалист,True,2015,М
20448,3.46,МТ,12,Специалист,False,2012,М
20460,3.82,МТ,8,Б,False,2014,М
20468,3.78,МТ,8,Б,False,2013,Ж
20476,4.47,МТ,12,Специалист,False,2012,Ж
20488,4.92,МТ,8,Б,False,2015,Ж
20489,4.67,МТ,4,М,False,2015,Ж
20490,4.58,МТ,4,М,False,2016,Ж
20504,4.12,МТ,11,Специалист,False,2009,Ж
20505,4.42,МТ,11,Специалист,False,2010,Ж
20510,4.0,МТ,4,М,False,2016,Ж
20530,3.26,МТ,11,Специалист,False,2008,Ж
20531,3.67,МТ,12,Специалист,False,2009,Ж
20532,4.51,МТ,11,Специалист,False,2008,Ж
20564,4.07,МТ,10,Специалист,True,2008,Ж
20566,3.1,МТ,2,Специалист,True,2009,Ж
20580,3.84,МТ,11,Специалист,False,2009,Ж
20591,4.04,МТ,10,Специалист,True,2007,Ж
20594,4.94,МТ,8,Б,False,2013,Ж
20611,4.02,МТ,12,Специалист,False,2010,Ж
20612,4.71,МТ,12,Специалист,False,2010,Ж
20635,3.67,МТ,10,Специалист,True,2008,Ж
20636,4.04,МТ,11,Специалист,False,2009,Ж
20639,3.39,МТ,7,Б,True,2011,Ж
20640,4.32,МТ,7,Специалист,True,2011,Ж
20641,4.74,МТ,7,Специалист,True,2012,Ж
20644,5.0,МТ,4,М,False,2015,Ж
20645,5.0,МТ,4,М,False,2016,Ж
20691,4.58,МТ,8,Б,False,2016,Ж
20692,4.94,МТ,4,М,False,2017,Ж
20693,5.0,МТ,4,М,False,2018,Ж
20707,4.92,МТ,8,Б,False,2014,М
20715,3.47,МТ,12,Специалист,False,2010,М
20716,3.55,МТ,11,Специалист,False,2007,М
20738,3.66,МТ,12,Специалист,False,2010,М
20740,4.92,МТ,8,Б,False,2016,М
20758,3.78,МТ,8,Специалист,True,2012,М
20770,4.34,МТ,11,Специалист,True,2014,М
20782,4.08,МТ,4,М,False,2015,М
20786,4.26,МТ,8,Б,False,2015,М
20794,3.0,МТ,1,Специалист,True,2013,М
20795,3.0,МТ,1,Специалист,True,2014,М
20803,5.0,МТ,8,Б,False,2014,Ж
20811,3.8,МТ,3,Специалист,True,2014,М
20815,3.72,МТ,5,Специалист,True,2008,М
20823,3.4,МТ,1,Специалист,True,2013,М
20824,3.5,МТ,1,Б,True,2017,М
20829,3.41,МТ,7,Специалист,True,2008,М
20839,3.33,МТ,5,Специалист,True,2014,М
20847,3.58,МТ,8,Б,True,2014,М
20856,3.44,МТ,2,Б,True,2015,М
20861,3.67,МТ,11,Специалист,False,2011,М
20872,4.2,МТ,8,Б,True,2012,М
20881,3.8,МТ,1,Специалист,True,2014,М
20883,4.82,МТ,9,Специалист,True,2014,М
20895,3.65,МТ,11,Специалист,True,2012,М
20896,3.53,МТ,7,Специалист,True,2010,М
20917,3.0,МТ,1,Специалист,True,2012,М
20918,3.8,МТ,2,Специалист,True,2015,М
20928,3.0,МТ,5,Специалист,True,2008,М
20934,3.4,МТ,11,Специалист,False,2008,М
20935,3.88,МТ,9,Специалист,True,2011,М
20938,3.2,МТ,7,Специалист,True,2010,М
20968,4.71,МТ,8,Б,False,2015,Ж
20969,4.86,МТ,8,Б,False,2015,Ж
20984,4.4,МТ,12,Специалист,False,2010,Ж
20985,4.69,МТ,12,Специалист,False,2010,Ж
20986,4.29,МТ,12,Специалист,False,2010,Ж
20988,3.55,МТ,10,Специалист,True,2010,Ж
20990,4.74,МТ,7,Специалист,True,2012,Ж
20995,4.03,МТ,7,Б,True,2013,Ж
20996,4.11,МТ,8,Б,False,2015,Ж
20997,3.71,МТ,4,М,False,2017,Ж
20998,3.0,МТ,2,Специалист,True,2008,Ж
21003,4.33,МТ,3,М,True,2015,Ж
21004,4.17,МТ,3,М,True,2015,Ж
21005,5.0,МТ,4,М,False,2015,Ж
21006,4.95,МТ,4,М,False,2016,Ж
21080,4.3,МТ,10,Специалист,True,2007,Ж
21081,4.42,МТ,10,Специалист,True,2007,Ж
21102,4.77,МТ,9,Специалист,True,2007,Ж
21103,4.5,МТ,9,Специалист,True,2007,Ж
21104,4.18,МТ,11,Специалист,False,2008,Ж
21105,4.79,МТ,11,Специалист,False,2009,Ж
21113,3.8,МТ,1,Специалист,True,2016,Ж
21114,3.44,МТ,8,Специалист,True,2009,Ж
21159,4.24,МТ,11,Специалист,False,2009,Ж
21170,4.13,МТ,6,Специалист,True,2011,Ж
21171,4.33,МТ,8,Б,False,2015,Ж
21172,4.08,МТ,8,Б,False,2015,Ж
21173,4.32,МТ,8,Б,False,2016,Ж
21174,4.75,МТ,1,Специалист,True,2015,Ж
21175,4.86,МТ,4,М,False,2016,Ж
21208,3.58,МТ,10,Специалист,True,2007,Ж
21211,3.4,МТ,3,Специалист,True,2009,Ж
21212,3.0,МТ,2,Специалист,True,2009,Ж
21226,4.19,МТ,12,Специалист,False,2010,Ж
21228,3.29,МТ,3,Специалист,True,2008,Ж
21244,3.73,МТ,9,Специалист,True,2008,Ж
21245,3.46,МТ,11,Специалист,True,2009,Ж
21246,4.92,МТ,11,Специалист,True,2010,Ж
21248,4.62,МТ,8,Б,False,2013,Ж
21249,4.44,МТ,8,Б,False,2013,Ж
21250,4.53,МТ,4,М,False,2017,Ж
21259,3.9,МТ,8,Б,True,2013,Ж
21260,3.92,МТ,8,Б,False,2013,Ж
21261,4.28,МТ,8,Б,False,2014,Ж
21262,4.4,МТ,8,Б,False,2014,Ж
21263,5.0,МТ,8,Б,False,2014,Ж
21264,4.54,МТ,8,Б,False,2016,Ж
21265,4.79,МТ,4,М,False,2017,Ж
21266,4.84,МТ,4,М,False,2017,Ж
21267,4.84,МТ,4,М,False,2018,Ж
21268,4.0,МТ,4,М,False,2018,Ж
21367,4.91,МТ,8,Б,False,2015,Ж
21368,5.0,МТ,8,Б,False,2016,Ж
21383,3.23,МТ,8,Б,False,2015,М
21385,4.06,МТ,8,Б,True,2011,М
21397,3.58,МТ,11,Специалист,False,2009,М
21408,4.57,МТ,11,Специалист,False,2008,М
21409,4.37,МТ,12,Специалист,False,2010,М
21410,4.11,МТ,11,Специалист,False,2009,М
21411,3.74,МТ,12,Специалист,True,2008,М
21413,3.4,МТ,1,Специалист,True,2011,М
21443,4.0,МТ,8,Специалист,True,2011,М
21460,3.44,МТ,11,Специалист,True,2013,М
21461,4.24,МТ,10,Специалист,True,2011,М
21487,3.97,МТ,11,Специалист,False,2011,М
21491,3.89,МТ,4,М,False,2016,М
21508,3.51,МТ,11,Специалист,False,2008,М
21511,3.2,МТ,2,Специалист,True,2013,М
21512,3.94,МТ,8,Б,False,2015,М
21533,4.7,МТ,12,Специалист,False,2012,М
21545,4.2,МТ,1,Б,True,2016,Ж
21548,4.19,МТ,4,М,False,2016,Ж
21552,3.42,МТ,8,Специалист,True,2009,Ж
21553,5.0,МТ,2,М,True,2016,Ж
21554,4.0,МТ,3,М,True,2015,Ж
21570,4.92,МТ,10,Специалист,True,2007,Ж
21571,4.53,МТ,8,Б,False,2013,Ж
21572,4.5,МТ,4,М,False,2017,Ж
21574,3.4,МТ,1,Специалист,True,2008,Ж
21595,5.0,МТ,10,Специалист,True,2008,Ж
21596,4.86,МТ,12,Специалист,False,2012,Ж
21618,4.3,МТ,6,Специалист,True,2011,Ж
21619,4.48,МТ,6,Специалист,True,2011,Ж
21620,4.22,МТ,6,Специалист,True,2011,Ж
21622,4.54,МТ,4,М,False,2015,Ж
21623,4.85,МТ,4,М,False,2015,Ж
21651,3.82,МТ,12,Специалист,False,2010,Ж
21652,4.17,МТ,7,Специалист,True,2008,Ж
21673,4.72,МТ,11,Специалист,True,2010,Ж
21675,3.62,МТ,3,Б,True,2015,Ж
21678,4.59,МТ,4,М,False,2016,Ж
21696,3.77,МТ,8,Б,False,2016,М
21704,3.65,МТ,5,Б,True,2014,М
21713,4.31,МТ,4,М,False,2016,М
21717,3.08,МТ,3,Б,True,2016,М
21722,4.74,МТ,8,Б,False,2016,М
21723,3.93,МТ,4,М,False,2016,М
21734,4.05,МТ,11,Специалист,False,2009,М
21735,3.34,МТ,12,Специалист,False,2010,М
21757,3.62,МТ,10,Специалист,True,2007,М
21758,4.97,МТ,11,Специалист,False,2008,М
21760,3.0,МТ,1,Специалист,True,2012,М
21761,3.0,МТ,2,Б,True,2016,М
21762,3.68,МТ,8,Б,False,2016,М
21765,4.04,МТ,6,Б,True,2011,М
21766,3.67,МТ,2,Б,True,2016,М
21814,4.42,МТ,11,Специалист,False,2008,М
21815,3.88,МТ,3,Специалист,True,2015,М
21817,4.6,МТ,1,Специалист,True,2008,М
21818,3.05,МТ,4,Специалист,True,2009,М
21820,4.58,МТ,4,М,False,2016,М
21842,3.93,МТ,9,Специалист,True,2007,М
21843,3.51,МТ,11,Специалист,True,2007,М
21844,3.2,МТ,2,Специалист,True,2016,М
21849,3.0,МТ,1,Специалист,True,2010,М
21850,4.85,МТ,10,Специалист,True,2013,М
21877,4.49,МТ,12,Специалист,False,2012,М
21879,3.6,МТ,1,Специалист,True,2009,М
21899,3.96,МТ,11,Специалист,False,2009,М
21900,4.73,МТ,11,Специалист,True,2010,М
21902,3.81,МТ,8,Б,False,2015,М
21903,3.78,МТ,8,Б,False,2015,М
21942,3.77,МТ,12,Специалист,True,2012,М
21944,3.5,МТ,3,Специалист,True,2015,М
21963,4.24,МТ,11,Специалист,True,2014,М
21965,3.2,МТ,1,Специалист,True,2016,М
21967,4.0,МТ,8,Б,False,2016,М
21988,4.09,МТ,12,Специалист,False,2012,М
21989,3.15,МТ,8,Специалист,True,2010,М
21990,4.29,МТ,12,Специалист,False,2010,М
21991,4.07,МТ,12,Специалист,False,2014,М
21998,3.0,МТ,1,Специалист,True,2012,М
22042,3.3,МТ,2,Специалист,True,2009,М
22045,4.69,МТ,11,Специалист,False,2009,М
22056,3.0,МТ,1,Специалист,True,2008,М
22060,4.76,МТ,10,Специалист,True,2008,М
22073,3.25,МТ,8,Б,True,2014,М
22078,3.92,МТ,11,Специалист,False,2008,М
22089,4.37,МТ,7,Специалист,True,2012,М
22090,4.84,МТ,4,М,False,2016,М
22101,3.62,МТ,8,Б,True,2015,М
22110,3.74,МТ,11,Специалист,False,2009,М
22112,3.42,МТ,5,Специалист,True,2013,М
22113,3.0,МТ,1,Специалист,True,2009,М
22125,4.92,МТ,12,Специалист,False,2010,М
22126,4.08,МТ,11,Специалист,False,2011,М
22131,3.0,МТ,2,Специалист,True,2015,М
22156,3.45,МТ,11,Специалист,True,2011,М
22157,3.35,МТ,12,Специалист,False,2010,М
22159,3.0,МТ,1,Специалист,True,2013,М
22190,4.9,МТ,11,Специалист,True,2012,М
22202,3.44,МТ,11,Специалист,False,2009,М
