,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
1133,4.04,РКТ,10,Специалист,True,2014,М
1136,3.2,РКТ,1,Специалист,True,2009,М
1142,3.6,РКТ,2,Специалист,True,2010,М
1161,4.57,РКТ,9,Специалист,True,2010,Ж
1162,4.79,РКТ,10,Специалист,True,2013,Ж
1165,3.58,РКТ,2,Специалист,True,2018,Ж
1186,5.0,РКТ,1,Специалист,True,2013,Ж
1188,3.72,РКТ,11,Специалист,False,2008,Ж
1199,4.66,РКТ,10,Специалист,True,2011,Ж
1210,4.68,РКТ,11,Специалист,False,2013,Ж
1212,3.4,РКТ,2,Специалист,True,2008,Ж
1225,3.93,РКТ,9,Специалист,True,2011,Ж
1236,4.86,РКТ,9,Специалист,True,2011,Ж
1237,4.6,РКТ,10,Специалист,True,2014,Ж
1240,3.0,РКТ,1,Специалист,True,2015,Ж
1261,3.94,РКТ,10,Специалист,True,2012,Ж
1262,3.94,РКТ,10,Специалист,True,2013,Ж
1283,3.79,РКТ,11,Специалист,False,2008,Ж
1284,4.09,РКТ,11,Специалист,False,2008,Ж
1285,3.78,РКТ,10,Специалист,True,2014,Ж
1317,4.83,РКТ,10,Специалист,True,2011,Ж
1318,3.63,РКТ,11,Специалист,False,2013,Ж
1319,3.93,РКТ,10,Специалист,True,2013,Ж
1320,4.09,РКТ,10,Специалист,True,2014,Ж
1321,3.77,РКТ,10,Специалист,True,2014,Ж
1322,3.0,РКТ,1,Специалист,True,2010,Ж
1324,3.0,РКТ,1,Специалист,True,2012,Ж
1325,3.76,РКТ,8,Специалист,True,2012,Ж
1326,3.1,РКТ,2,Специалист,True,2012,Ж
1394,3.44,РКТ,10,Специалист,True,2011,М
1407,4.71,РКТ,10,Специалист,True,2012,М
1408,4.26,РКТ,10,Специалист,True,2014,М
1409,3.98,РКТ,10,Специалист,True,2014,М
1440,4.33,РКТ,8,Специалист,True,2012,М
1441,3.0,РКТ,1,Специалист,True,2011,М
1453,3.0,РКТ,1,Специалист,True,2012,М
1455,3.84,РКТ,9,Специалист,True,2012,М
1456,4.15,РКТ,10,Специалист,True,2013,М
1477,4.07,РКТ,11,Специалист,True,2009,М
1489,3.68,РКТ,9,Специалист,True,2012,М
1490,3.96,РКТ,10,Специалист,True,2014,М
1511,3.75,РКТ,11,Специалист,False,2010,М
1522,4.04,РКТ,10,Специалист,True,2014,М
1533,3.98,РКТ,9,Специалист,True,2012,М
1544,4.13,РКТ,10,Специалист,True,2012,М
1545,3.63,РКТ,10,Специалист,True,2011,М
1546,4.33,РКТ,10,Специалист,True,2014,М
1550,4.0,РКТ,2,Специалист,True,2015,М
1581,3.63,РКТ,11,Специалист,False,2010,М
1582,4.38,РКТ,10,Специалист,True,2010,М
1584,3.42,РКТ,2,Специалист,True,2017,М
1585,3.0,РКТ,2,Специалист,True,2008,М
1601,4.66,РКТ,11,Специалист,False,2010,М
1603,4.04,РКТ,10,Специалист,True,2012,М
1604,4.19,РКТ,11,Специалист,False,2013,М
1605,3.72,РКТ,10,Специалист,True,2014,М
1655,4.45,РКТ,9,Специалист,True,2012,М
1666,3.98,РКТ,8,Специалист,True,2013,М
1667,3.8,РКТ,10,Специалист,True,2014,М
1688,4.07,РКТ,10,Специалист,True,2014,М
1700,4.2,РКТ,8,Специалист,True,2012,М
1701,3.62,РКТ,5,Специалист,True,2014,М
1702,4.0,РКТ,1,Специалист,True,2014,М
1703,3.0,РКТ,1,Специалист,True,2007,М
1720,4.48,РКТ,9,Специалист,True,2012,Ж
1731,4.02,РКТ,10,Специалист,True,2013,Ж
1732,4.43,РКТ,10,Специалист,True,2013,Ж
1733,4.25,РКТ,10,Специалист,True,2014,Ж
1764,3.34,РКТ,6,Специалист,True,2008,Ж
1771,4.95,РКТ,8,Специалист,True,2012,М
1782,4.1,РКТ,10,Специалист,True,2013,М
1783,4.15,РКТ,10,Специалист,True,2014,М
1804,4.07,РКТ,10,Специалист,True,2014,М
1815,3.86,РКТ,10,Специалист,True,2012,М
1826,4.65,РКТ,10,Специалист,True,2013,М
1827,4.75,РКТ,10,Специалист,True,2013,М
1828,3.94,РКТ,10,Специалист,True,2012,М
1829,4.64,РКТ,10,Специалист,True,2014,М
1830,4.29,РКТ,10,Специалист,True,2014,М
1831,4.69,РКТ,10,Специалист,True,2014,М
1832,4.18,РКТ,10,Специалист,True,2014,М
1833,3.18,РКТ,5,Специалист,True,2010,М
1834,3.4,РКТ,1,Специалист,True,2012,М
1842,3.2,РКТ,1,Специалист,True,2015,М
1843,3.0,РКТ,1,Специалист,True,2009,М
1913,4.09,РКТ,10,Специалист,True,2014,М
1915,4.3,РКТ,2,Специалист,True,2008,М
1927,4.2,РКТ,9,Специалист,True,2007,М
1928,3.5,РКТ,1,Специалист,True,2014,М
1929,3.42,РКТ,2,Специалист,True,2017,М
1945,3.98,РКТ,10,Специалист,True,2011,М
1962,4.32,РКТ,10,Специалист,True,2013,М
1963,4.14,РКТ,10,Специалист,True,2014,М
1984,3.58,РКТ,11,Специалист,False,2013,М
1995,4.65,РКТ,10,Специалист,True,2013,М
2006,3.77,РКТ,11,Специалист,False,2011,М
2017,3.0,РКТ,2,Специалист,True,2009,М
2024,4.94,РКТ,10,Специалист,True,2013,Ж
2035,4.54,РКТ,10,Специалист,True,2013,Ж
2046,4.69,РКТ,10,Специалист,True,2013,Ж
2057,3.79,РКТ,9,Специалист,True,2007,Ж
2058,4.33,РКТ,2,Специалист,True,2017,Ж
2071,3.48,РКТ,10,Специалист,True,2009,Ж
2085,3.2,РКТ,2,Специалист,True,2014,Ж
2089,4.03,РКТ,11,Специалист,True,2011,Ж
2103,4.69,РКТ,10,Специалист,True,2014,М
2105,3.17,РКТ,1,Специалист,True,2017,М
2117,4.32,РКТ,10,Специалист,True,2012,М
2118,4.11,РКТ,10,Специалист,True,2013,М
2140,4.09,РКТ,10,Специалист,True,2014,М
2151,3.0,РКТ,2,Специалист,True,2013,М
2156,3.07,РКТ,3,Специалист,True,2008,М
2164,4.06,РКТ,10,Специалист,True,2011,М
2165,3.2,РКТ,2,Специалист,True,2010,М
2167,3.33,РКТ,3,Специалист,True,2013,М
2184,4.47,РКТ,10,Специалист,True,2013,М
2196,4.41,РКТ,11,Специалист,True,2009,М
2208,3.9,РКТ,2,Специалист,True,2009,М
2213,3.0,РКТ,1,Специалист,True,2011,М
2215,3.94,РКТ,10,Специалист,True,2009,М
2216,3.2,РКТ,1,Специалист,True,2007,М
2228,4.25,РКТ,10,Специалист,True,2014,М
2230,3.48,РКТ,5,Специалист,True,2009,М
2248,3.27,РКТ,2,Специалист,True,2011,М
2252,3.26,РКТ,6,Специалист,True,2011,М
2263,4.56,РКТ,2,Специалист,True,2015,Ж
2267,3.83,РКТ,10,Специалист,True,2009,Ж
2278,4.85,РКТ,9,Специалист,True,2008,М
2279,3.2,РКТ,2,Специалист,True,2014,М
2292,3.33,РКТ,2,Специалист,True,2011,М
2296,3.2,РКТ,1,Специалист,True,2010,М
2298,3.45,РКТ,9,Специалист,True,2007,М
2309,3.62,РКТ,10,Специалист,True,2011,М
2310,3.96,РКТ,10,Специалист,True,2012,М
2331,4.23,РКТ,10,Специалист,True,2008,Ж
2332,3.5,РКТ,10,Специалист,True,2013,Ж
2333,3.82,РКТ,9,Специалист,True,2013,Ж
2334,4.4,РКТ,4,Специалист,True,2011,Ж
2335,4.71,РКТ,10,Специалист,True,2012,Ж
2371,4.58,РКТ,10,Специалист,True,2014,Ж
2393,4.4,РКТ,9,Специалист,True,2008,Ж
2394,4.89,РКТ,10,Специалист,True,2014,Ж
2414,4.09,РКТ,11,Специалист,False,2009,Ж
2425,4.15,РКТ,10,Специалист,True,2009,М
2436,3.48,РКТ,11,Специалист,False,2011,Ж
2447,3.4,РКТ,11,Специалист,False,2011,М
2458,3.92,РКТ,10,Специалист,True,2012,М
2469,4.56,РКТ,9,Специалист,True,2013,М
2471,3.0,РКТ,2,Специалист,True,2008,М
2483,3.25,РКТ,4,Специалист,True,2009,М
2488,3.82,РКТ,9,Специалист,True,2012,М
2500,3.72,РКТ,11,Специалист,True,2012,М
2512,3.66,РКТ,11,Специалист,True,2007,М
2524,3.7,РКТ,9,Специалист,True,2013,М
2535,3.85,РКТ,4,Специалист,True,2009,М
